LOB,Client,SurveyDate,ReqOrRec,DateIssued,RequiredByDate,RiskImprovementTitle,Status,StatusDate,RiskEngineer,Underwriter,DaysToComplete,IsOpen,DaysOverdue,HasDeadline,LeadTimeDays,RiskCategory,EngineerLoad,ClientOpenImprovements
Liability,760FDDEA5C9B57F9AC08B6F5589F1ED7,2024-05-02,Requirement,2024-05-07,2024-08-07,Workplace_Transport,In Process,,47B79BD259E22596FFC4BE2FFBBE5C5A,1D7B33FC26CA22C2011AAA97FECC43D8,,True,377.0,True,92.0,Other,217,7
Property,760FDDEA5C9B57F9AC08B6F5589F1ED7,2024-05-02,Requirement,2024-05-07,2024-07-07,Electrical_Maintenance,In Process,,47B79BD259E22596FFC4BE2FFBBE5C5A,1D7B33FC26CA22C2011AAA97FECC43D8,,True,408.0,True,61.0,Other,217,7
Property,760FDDEA5C9B57F9AC08B6F5589F1ED7,2024-05-02,Requirement,2024-05-07,2024-06-07,External_Storage,In Process,,47B79BD259E22596FFC4BE2FFBBE5C5A,1D7B33FC26CA22C2011AAA97FECC43D8,,True,438.0,True,31.0,Other,217,7
Liability,760FDDEA5C9B57F9AC08B6F5589F1ED7,2024-05-02,Requirement,2024-05-07,2024-07-07,Personal_Protective_Equipment,In Process,,47B79BD259E22596FFC4BE2FFBBE5C5A,1D7B33FC26CA22C2011AAA97FECC43D8,,True,408.0,True,61.0,Other,217,7
Property,760FDDEA5C9B57F9AC08B6F5589F1ED7,2024-05-02,Requirement,2024-05-07,2024-07-07,Business_Continuity,In Process,,47B79BD259E22596FFC4BE2FFBBE5C5A,1D7B33FC26CA22C2011AAA97FECC43D8,,True,408.0,True,61.0,Other,217,7
Liability,760FDDEA5C9B57F9AC08B6F5589F1ED7,2024-05-02,Requirement,2024-05-07,2024-06-07,Contractor_Controls,In Process,,47B79BD259E22596FFC4BE2FFBBE5C5A,1D7B33FC26CA22C2011AAA97FECC43D8,,True,438.0,True,31.0,Other,217,7
Property,760FDDEA5C9B57F9AC08B6F5589F1ED7,2024-05-02,Recommendation,2024-05-07,,Sprinkler_Protection,In Process,,47B79BD259E22596FFC4BE2FFBBE5C5A,1D7B33FC26CA22C2011AAA97FECC43D8,,True,0.0,False,,Other,217,7
Property,E75A271C859E6E118F2D9012F397D0B8,2023-01-30,Recommendation,2023-02-03,,Permits_to_Work,In Process,2023-02-03,92A54B358B4CF53CCA4095E4697E1004,1D7B33FC26CA22C2011AAA97FECC43D8,0.0,True,0.0,False,,Other,254,4
Property,E75A271C859E6E118F2D9012F397D0B8,2023-01-30,Recommendation,2023-02-03,,Electrical_Maintenance,In Process,2023-02-03,92A54B358B4CF53CCA4095E4697E1004,1D7B33FC26CA22C2011AAA97FECC43D8,0.0,True,0.0,False,,Other,254,4
Property,E75A271C859E6E118F2D9012F397D0B8,2023-01-30,Recommendation,2023-02-03,,Utilities,In Process,2023-02-03,92A54B358B4CF53CCA4095E4697E1004,1D7B33FC26CA22C2011AAA97FECC43D8,0.0,True,0.0,False,,Other,254,4
Property,E75A271C859E6E118F2D9012F397D0B8,2023-01-30,Recommendation,2023-02-03,,Contractor_Controls,In Process,2023-02-03,92A54B358B4CF53CCA4095E4697E1004,1D7B33FC26CA22C2011AAA97FECC43D8,0.0,True,0.0,False,,Other,254,4
Liability,B5D50F749C63ACCAD464F0B0FC922570,2022-02-24,Requirement,2022-02-02,2022-04-22,Accident_Investigation,No Response,,90581D96B500FD2D3FD701A583409CB8,94A990462684A2FBB5DFC7FAB1C8975D,,True,1215.0,True,79.0,Other,34,1
Property,9FBB7FD4D9EBDE6369644C1420CA8D57,2023-04-19,Requirement,,,Storage_Hazards,In Process,,92A54B358B4CF53CCA4095E4697E1004,1D50EEEE3AA774EB670B89AE648FC40C,,True,0.0,False,,Other,254,2
Property,9FBB7FD4D9EBDE6369644C1420CA8D57,2023-04-19,Recommendation,,,Special_Fixed_Fire_Protection,In Process,,92A54B358B4CF53CCA4095E4697E1004,1D50EEEE3AA774EB670B89AE648FC40C,,True,0.0,False,,Other,254,2
Property,3CA67D68801623BB3152696DFCB3B5DB,2020-10-30,Recommendation,2020-03-08,,Electrical_Maintenance,Completed Verified,2021-07-13,5CE8266757B27623F18AB526111231B6,F4A5F77DBC261A64BD853D05F8410365,492.0,True,0.0,False,,Other,310,5
